state_code,county_code,no_exercise,few_fruit_veg,obesity,high_blood_pres,smoker,diabetes,uninsured,prim_care_phys_rate,dentist_rate,community_health_center_ind
8,41,17.1,78.1,18.0,18.9,20.2,4.0,71691,55.5,59.6,1
8,43,20.9,79.3,15.1,23.5,25.6,4.8,6693,52.3,27.2,1
8,45,8.7,70.2,11.6,20.4,20.1,5.5,6788,68.3,46.2,1
8,47,,,,,,,534,0.0,0.0,1
8,49,,,9.9,,20.3,1.1,1874,60.6,53.0,2
8,51,,,6.8,13.9,,1.1,2288,63.3,49.2,2
8,53,,,,,,,168,130.7,130.7,2
8,55,,,,,,,1576,64.3,25.7,1
8,57,,,,,,,307,69.1,0.0,2
8,59,13.9,74.9,14.2,20.8,20.0,4.1,61303,93.2,60.7,1
8,61,,,,,,,324,0.0,0.0,2
8,63,,,,,,1.5,1510,39.3,13.1,1
8,65,12.1,86.9,,,,1.9,1460,38.8,51.7,2
8,67,12.1,67.8,8.7,16.5,20.9,1.4,6532,94.8,67.4,1
8,69,13.6,75.8,12.8,18.4,20.7,3.5,33688,91.2,55.5,1
8,71,,,20.5,,,11.0,3294,64.7,38.8,2
8,73,,,,,,,973,89.0,17.8,1
8,75,25.7,81.0,25.3,22.6,31.6,6.2,3212,53.1,38.6,1
8,77,17.9,76.8,18.3,24.1,20.4,3.9,18749,90.9,44.7,1
8,79,,,,,,,115,107.3,0.0,2
8,81,,,12.1,,,7.6,1966,52.2,29.8,2
8,83,16.1,84.4,17.8,,22.5,5.7,4699,84.8,40.4,1
8,85,28.6,76.8,18.0,21.3,21.4,4.2,6477,72.0,56.0,2
8,87,34.4,77.4,25.6,21.9,24.4,4.2,5406,64.3,35.7,1
8,89,21.2,,26.7,,17.2,1.6,4282,51.3,35.9,1
8,91,,,,,,,497,117.4,23.5,2
8,93,15.6,,15.9,,20.4,2.5,2169,17.7,5.9,1
8,95,,,,,,,752,109.0,21.8,2
8,97,8.4,,4.2,7.2,14.2,2.1,1688,134.1,73.8,2
8,99,,,,,14.1,9.3,3277,72.0,50.4,1
8,101,22.7,78.8,22.6,28.8,24.2,9.0,26093,86.6,49.6,1
8,103,,,,,,7.0,958,67.0,67.0,2
8,105,,,,,17.0,,3061,49.1,40.9,1
8,107,10.8,,10.9,16.3,16.9,0.7,2581,107.9,42.2,2
8,109,,,,,,,1673,14.2,0.0,1
8,111,,,,,,,155,0.0,0.0,2
8,113,,,,,,,951,124.8,27.7,1
8,115,,,,,,8.3,505,79.1,79.1,2
8,117,10.2,,7.0,11.4,17.0,0.6,3707,116.5,48.2,2
8,119,16.9,76.6,9.1,,20.7,5.2,2930,63.9,36.5,1
8,121,,,11.4,,,,935,0.0,21.6,2
8,123,24.5,78.4,22.0,20.3,17.7,4.8,32985,55.9,23.1,1
8,125,,89.5,13.8,,,3.7,1977,112.4,30.6,2
9,1,20.6,70.3,16.3,24.0,16.4,5.1,87577,129.9,74.7,1
9,3,21.1,70.6,19.2,25.2,18.3,6.3,95398,130.0,79.7,1
9,5,19.4,69.2,17.7,23.7,18.2,5.8,14599,77.3,51.0,1
9,7,18.0,73.5,18.8,25.2,18.3,5.2,11370,93.7,60.7,1
9,9,25.4,70.5,21.0,25.4,20.1,7.3,92560,143.8,59.0,1
9,11,20.3,72.0,19.3,25.3,21.3,6.6,23723,75.0,56.3,1
9,13,17.8,73.3,18.7,20.2,18.7,4.2,11139,69.1,42.7,1
9,15,24.9,71.2,23.5,29.8,24.2,7.4,11524,57.8,31.9,1
10,1,26.9,80.4,25.2,28.6,24.6,8.5,17333,50.7,32.6,1
10,3,23.0,78.2,20.5,25.8,22.1,6.6,51503,97.3,46.5,1
10,5,27.9,78.9,24.5,32.5,24.7,8.9,21623,63.4,14.2,1
11,1,22.2,68.1,21.3,26.7,20.4,7.8,-2222,227.6,102.8,1
12,1,23.3,73.7,17.5,23.1,22.0,7.1,33617,220.7,97.4,1
12,3,37.1,81.3,34.4,,33.9,10.3,2735,32.6,12.2,2
12,5,23.7,76.6,20.5,22.4,24.7,6.9,21318,56.9,37.1,1
12,7,32.2,84.3,25.9,,21.8,8.1,3409,21.3,24.9,2
12,9,23.7,76.4,20.3,31.5,27.8,8.8,58996,71.0,40.8,1
12,11,25.8,70.3,18.8,24.8,18.4,7.1,264560,75.5,43.0,1
12,13,,,17.0,,,4.8,2015,45.1,30.1,2
12,15,22.9,73.2,23.1,37.6,19.9,9.1,15876,66.7,27.3,1
12,17,28.7,71.9,17.6,38.9,21.8,11.6,16855,52.8,21.6,1
12,19,21.4,75.6,20.6,21.8,28.9,7.9,17984,70.7,41.5,1
12,21,21.3,73.4,19.8,29.0,17.6,8.4,35984,68.7,34.2,1
12,23,30.4,,24.8,,26.3,10.4,9336,43.7,25.0,1
12,27,,78.5,23.9,,26.0,11.3,6924,39.5,5.6,1
12,29,,,25.3,,,7.4,2414,13.7,13.7,1
12,31,24.2,77.6,24.4,29.4,21.0,6.5,108555,107.9,39.6,1
12,33,27.9,72.7,27.0,33.3,26.5,8.4,43450,86.3,44.8,2
12,35,21.8,65.6,14.1,34.3,19.5,9.7,6658,35.3,17.0,2
12,37,,,11.9,,,2.7,1687,59.0,9.8,1
12,39,,,29.4,,21.4,16.6,9187,38.8,21.5,1
12,41,25.3,,,,,8.9,2396,6.1,0.0,1
12,43,,96.4,,,,6.9,1872,0.0,0.0,2
12,45,,,,,23.5,10.1,1955,57.2,35.8,1
12,47,,,,,,,2415,57.2,21.5,2
12,49,,,,,18.2,,6307,24.7,10.6,1
12,51,,,,,23.5,7.6,8529,30.3,17.7,1
12,53,29.9,71.5,21.5,26.3,24.3,10.3,18239,53.7,17.0,1
12,55,28.2,72.4,20.7,42.7,21.0,9.6,15429,69.1,28.3,1
12,57,25.5,77.1,21.9,22.8,24.1,8.0,159922,88.5,35.9,1
12,59,31.1,,,,,13.1,3321,41.5,10.4,2
12,61,19.7,71.1,19.0,28.0,22.3,7.4,12963,82.4,44.3,1
12,63,34.2,,24.3,,23.5,6.8,6703,49.0,22.5,2
12,65,16.4,,18.4,,16.3,6.3,1923,41.4,13.8,2
12,67,,,,,,,1190,25.1,12.6,1
12,69,23.0,72.2,21.4,34.4,24.4,7.8,31233,58.8,23.1,1
12,71,27.4,75.8,18.7,30.9,26.6,9.8,66178,58.4,31.0,1
12,73,20.6,77.4,16.2,19.6,20.1,4.6,32754,102.1,37.4,1
12,75,28.9,80.5,28.8,,23.7,6.8,6477,31.6,13.2,2
12,77,,,,,,7.3,1042,0.0,12.9,1
12,79,,83.3,,,,17.2,3163,36.7,10.5,1
12,81,26.9,69.7,18.4,31.1,21.5,8.2,36466,66.8,29.7,1
12,83,26.1,76.1,23.7,35.0,25.2,9.4,41468,48.8,25.4,2
12,85,24.2,74.5,13.9,26.4,22.1,6.4,14138,77.3,49.4,1
12,86,34.6,79.0,19.0,24.2,17.6,8.1,485473,111.5,47.1,1
12,87,21.2,73.1,20.0,26.3,26.4,7.2,10211,68.1,43.2,2
12,89,24.5,73.7,28.2,,24.2,9.8,6260,43.2,21.6,2
12,91,19.3,73.3,20.7,28.5,22.0,7.6,21753,92.2,50.5,2
12,93,39.6,79.9,28.2,,,8.5,7655,52.7,20.1,1
12,95,25.9,78.3,19.5,23.6,19.8,7.2,157645,90.5,34.1,1
12,97,29.0,77.6,22.2,19.7,23.0,7.3,33602,43.6,13.4,1
12,99,23.4,69.9,18.3,27.8,20.1,7.8,159195,82.9,51.2,1
12,101,24.9,76.3,23.1,34.8,23.6,8.1,49412,50.8,18.6,1
12,103,24.2,72.0,19.0,28.4,22.5,8.5,109940,87.3,51.5,1
12,105,32.9,75.2,27.9,29.2,22.2,9.2,79871,54.3,22.3,1
12,107,29.6,80.9,30.5,32.4,27.0,11.6,13304,43.5,15.0,1
12,109,22.2,76.4,16.8,27.3,20.1,6.4,12404,84.2,28.5,1
12,111,25.0,76.2,23.0,34.7,28.3,10.4,29919,41.0,21.1,1
12,113,24.6,75.6,19.3,24.6,27.3,4.8,15347,65.0,20.3,2
12,115,21.6,72.7,18.0,28.5,20.0,6.4,31428,85.7,53.0,1
12,117,19.4,78.9,16.3,24.8,23.3,6.3,49258,67.0,37.1,1
12,119,22.9,86.4,32.6,,14.4,12.9,8049,21.8,9.3,1
12,121,37.6,80.9,31.8,,29.9,7.2,6295,15.5,15.5,2
12,123,33.2,,30.8,,,13.5,2972,40.8,10.2,1
12,125,,,21.2,,,4.4,1486,60.3,13.4,2
12,127,27.2,75.3,21.9,31.0,29.1,9.2,64065,65.5,32.9,1
12,129,21.2,86.0,23.0,23.0,,6.7,3482,17.7,0.0,1
12,131,28.9,74.8,19.5,32.2,25.2,8.8,6954,29.8,11.9,2
12,133,35.4,80.2,32.7,,20.0,13.4,3573,35.9,22.4,2
13,1,,83.2,26.9,,,9.2,3525,55.7,11.1,2
13,3,,,,,,8.1,1894,12.5,12.5,1
13,5,,,,,,6.9,1915,96.3,9.6,2
13,7,,,,,,,966,0.0,0.0,1
13,9,19.6,76.9,28.2,,17.8,10.9,5693,90.6,35.4,2
13,11,,,,,,9.3,2550,12.5,0.0,2
13,13,30.6,78.3,25.1,29.9,32.7,8.9,5988,33.4,11.7,1
13,15,26.0,79.5,30.8,27.7,29.3,10.2,11493,48.2,16.8,2
13,17,26.4,,31.5,,23.3,10.9,3539,34.7,34.7,2
